中文名称,英文名称
乙酸对-甲酚酯,p-Cresyl acetate
乙酸苏合香酯,Styrallyl acetate
乙酸橙花酯,Neryl acetate
乙酸松油酯,Terpinyl acetate
异丁酸肉桂酯,Cinnamyl isobutyrate
顺式-3-己烯-1-醇乙酸酯(又名乙酸叶醇酯),cis-3-Hexen-1-yl acetate (Leaf acetate)
乙酸糠酯,Furfuryl acetate
庚酸烯丙酯,Allyl heptanoate
乙酸芳樟酯,Linalyl acetate
乙酸葛缕酯,Carvyl acetate
乙酸二氢葛缕酯,Dihydrocarvyl acetate
苯乙酸丁酯,Butyl phenylacetate
丙酸乙酯,Ethyl propionate
丙二酸二乙酯,Diethyl malonate
丙酸异丁酯,Isobutyl propionate
丙酸异戊酯,Isoamyl propionate
丙酸顺式-3-己烯酯和丙酸反式-2-己烯酯,cis-3-Hexenyl propionate and trans-2-Hexenyl propionate
丙酸香叶酯,Geranyl propionate
丙酸香茅酯,Citronellyl propionate
丙酸苄酯,Benzyl propionate
丙酸苯乙酯,Phenethyl propionate
丙酸芳樟酯,Linalyl propionate
丁酸甲酯,Methyl butyrate
2-甲基丁酸甲酯,Methyl 2-methylbutyrate
丁酸乙酯,Ethyl butyrate
异丁酸乙酯,Ethyl isobutyrate
2-甲基丁酸乙酯,Ethyl 2-methylbutyrate
3-羟基丁酸乙酯,Ethyl 3-hydroxybutyrate
丁二酸二乙酯,Diethyl succinate
异丁酸甲酯,Methyl isobutyrate
丁酸丁酯,Butyl butyrate
丁酸异丁酯,Isobutyl butyrate
2-甲基丁酸丁酯,n-Butyl 2-methylbutyrate
2-甲基丁酸2-甲基丁酯,2-Methylbutyl 2-methylbutyrate
异丁酸丁酯,Butyl isobutyrate
丁酸戊酯,Amyl butyrate
丁酸异戊酯,Isoamyl butyrate
2-甲基丁酸异戊酯,Isoamyl 2-methylbutanoate
异丁酸异戊酯,Isopentyl isobutyrate
丁酸己酯,Hexyl butyrate
2-甲基丁酸己酯,Hexyl 2-methylbutyrate
丁酸顺式-3-己烯酯(又名丁酸叶醇酯),cis-3-Hexenyl butyrate (Leaf butyrate)
2-甲基丁酸-3-己烯酯,3-Hexenyl 2-methylbutanoate
异丁酸庚酯,Heptyl isobutyrate
2-甲基丁酸辛酯,Octyl 2-methylbutyrate
1-辛烯-3-醇丁酸酯,1-Octen-3-yl butyrate
丁酸苄酯,Benzyl butyrate
异丁酸苄酯,Benzyl isobutyrate
丁酸苯乙酯,Phenethyl butyrate
2-甲基丁酸苯乙酯,Phenethyl 2-methylbutyrate
异丁酸苯乙酯,Phenethyl isobutyrate
丁酸香叶酯,Geranyl butyrate
异丁酸香叶酯,Geranyl isobutyrate
丁酸芳樟酯,Linalyl butyrate
异丁酸芳樟酯,Linalyl isobutyrate
当归酸异丁酯,Isobutyl angelate
异丁酸橙花酯,Neryl isobutyrate
正戊酸乙酯,Ethyl valerate
丁酰乳酸丁酯,Butyl butyryllactate
异戊酸乙酯,Ethyl isovalerate
水杨酸丁酯(又名柳酸丁酯),Butyl salicylate
异戊酸丁酯,Butyl isovalerate
异戊酸异戊酯,Isoamyl isovalerate
异戊酸3-己烯酯,3-Hexenyl isovalerate
异戊酸壬酯,Nonyl isovalerate
异戊酸苯乙酯,Phenethyl isovalerate
异戊酸香叶酯,Geranyl isovalerate
己酸甲酯,Methyl hexanoate
2-己烯酸甲酯,Methyl 2-hexenoate
己酸乙酯,Ethyl hexanoate（Ethyl caproate）
3-己烯酸乙酯,Ethyl 3-hexenoate
3-羟基己酸乙酯,Ethyl 3-hydroxyhexanoate
反式-2-己烯酸乙酯,Ethyl trans-2-hexenoate
己酸丙酯,Propyl hexanoate
己酸戊酯,Amyl hexanoate
己酸异戊酯,Isoamyl hexanoate
己酸己酯,Hexyl hexanoate
己酸顺式-3-己烯酯(又名己酸叶醇酯),cis-3-Hexenyl hexanoate (Leaf hexanoate)
庚酸乙酯,Ethyl heptanoate
庚酸丙酯,Propyl heptanoate
庚酸丁酯,Butyl heptanoate
2-甲基-3-巯基呋喃,2-Methyl-3-furanthiol
辛酸甲酯,Methyl caprylate
辛酸乙酯,Ethyl caprylate
顺式-4-辛烯酸乙酯,Ethyl cis-4-octenoate
顺式-4,7-辛二烯酸乙酯,Ethyl cis-4,7-octadienoate
辛酸异戊酯,Isoamyl octanoate
辛酸壬酯,Nonyl octanoate
辛酸苯乙酯,Phenethyl octanoate
2-壬烯酸甲酯,Methyl 2-nonenoate
壬酸乙酯,Ethyl nonanoate
癸酸乙酯,Ethyl decanoate
反式-2-顺式-4-癸二烯酸乙酯,Ethyl trans-2,cis-4-decadienoate
十二酸乙酯(又名月桂酸乙酯),Ethyl dodecanoate (Ethyl laurate)
十四酸甲酯(又名肉豆蔻酸甲酯),Methyl tetradecanoate (Methtyl myristate)
苯甲酸甲酯,Methyl benzoate
苯甲酸乙酯,Ethyl benzoate
苯甲酸丙酯,Propyl benzoate
苯甲酸己酯,Hexyl benzoate
苯甲酸苄酯,Benzyl benzoate
苯甲酸顺式-3-己烯酯(又名苯甲酸叶醇酯),cis-3-Hexenyl benzoate (Leaf benzoate)
邻氨基苯甲酸甲酯,Methyl anthranilate
苯乙酸甲酯,Methyl phenylacetate
苯乙酸乙酯,Ethyl phenylacetate
苯乙酸异戊酯,Isoamyl phenylacetate
苯乙酸苯乙酯,Phenethyl phenylacetate
惕各酸乙酯,Ethyl tiglate
惕各酸苄酯,Benzyl tiglate
乳酸乙酯,Ethyl lactate
乳酸丁酯,Butyl lactate
肉桂酸甲酯,Methyl cinnamate
肉桂酸乙酯,Ethyl cinnamate
肉桂酸苄酯,Benzyl cinnamate
肉桂酸苯乙酯,Phenethyl cinnamate
肉桂酸肉桂酯,Cinnamyl cinnamate
水杨酸甲酯(又名柳酸甲酯),Methyl salicylate
